dateok,dwell00
2017-12-02 12:14:00,2
2017-12-02 12:14:10,2
2017-12-02 12:14:30,3
2017-12-02 12:14:50,5
2017-12-02 12:15:20,0
2017-12-02 12:15:30,9
2017-12-02 12:15:50,7
2017-12-02 12:16:10,7
2017-12-02 12:16:20,1
2017-12-02 12:16:50,14
2017-12-02 12:17:10,4
2017-12-02 12:17:30,20
2017-12-02 12:17:40,2
2017-12-02 12:17:50,1
2017-12-02 12:18:20,11
2017-12-02 12:18:40,1
2017-12-02 12:18:50,0
2017-12-02 12:19:00,12
2017-12-02 12:19:20,1
2017-12-02 12:19:40,6
2017-12-02 12:19:50,15
2017-12-02 12:20:10,5
2017-12-02 12:20:20,1
2017-12-02 12:20:40,0
2017-12-02 12:21:00,0
2017-12-02 12:21:10,2
2017-12-02 12:21:20,2
2017-12-02 12:21:50,5
2017-12-02 12:22:00,17
2017-12-02 12:22:20,0
2017-12-02 12:22:40,125
2017-12-02 12:23:00,1
2017-12-02 12:23:10,2
2017-12-02 12:23:20,13
2017-12-02 12:23:30,0
2017-12-02 12:23:40,2
2017-12-02 12:23:50,0
2017-12-02 12:24:00,6
2017-12-02 12:24:10,0
2017-12-02 12:24:20,5
2017-12-02 12:24:30,15
2017-12-02 12:24:40,3
2017-12-02 12:24:50,8
2017-12-02 12:25:20,12
2017-12-02 12:25:40,3
2017-12-02 12:25:50,1
2017-12-02 12:26:20,10
2017-12-02 12:26:50,14
2017-12-02 12:27:00,1
2017-12-02 12:27:20,3
2017-12-02 12:27:30,2
2017-12-02 12:28:10,28
2017-12-02 12:28:20,4
2017-12-02 12:28:30,12
2017-12-02 12:29:50,0
2017-12-02 12:30:00,1
2017-12-02 12:30:20,2
2017-12-02 12:30:40,5
2017-12-02 12:30:50,10
2017-12-02 12:31:00,0
2017-12-02 12:31:10,5
2017-12-02 12:31:20,0
2017-12-02 12:31:50,4
2017-12-02 12:32:10,5
2017-12-02 12:32:20,5
2017-12-02 12:32:30,14
2017-12-02 12:32:40,2
2017-12-02 12:33:00,2
2017-12-02 12:33:10,18
2017-12-02 12:33:20,7
2017-12-02 12:33:30,1
2017-12-02 12:33:40,15
2017-12-02 12:33:50,1
2017-12-02 12:34:20,0
2017-12-02 12:34:30,0
2017-12-02 12:34:50,20
2017-12-02 12:35:40,1
2017-12-02 12:36:20,32
2017-12-02 12:36:30,30
2017-12-02 12:37:00,1
2017-12-02 12:37:20,48
2017-12-02 12:37:40,2
2017-12-02 12:37:50,3
2017-12-02 12:38:00,1
2017-12-02 12:38:10,61
2017-12-02 12:38:20,10
2017-12-02 12:38:30,2
2017-12-02 12:38:50,5
2017-12-02 12:39:00,57
2017-12-02 12:39:10,12
2017-12-02 12:39:30,48
2017-12-02 12:39:40,4
2017-12-02 12:40:10,11
